Animation_Name,Animation_ID
Bee_Base,0x10
Bee_Stop,0x14
Scarab_Base,0x16
Axe_Charge_1_Base,0x19
Axe_Charge_2_Base,0x1D
Axe_Charge_3_Base,0x21
Axe_Charge_4_Base,0x25
Axe_Charge_5_Base,0x29
Axe_Charge_6_Base,0x2D
Axe_Charge_7_Base,0x31
Axe_Use_Base,0x35
Axe_Charged_Release_Base,0x39
Player_Stop_Base,0x3D
Withdraw_Tool_1,0x41
Withdraw_Tool_2,0x42
Withdraw_Tool_3,0x43
Withdraw_Tool_4,0x44
Drimk_1,0x45
Drimk_2,0x46
Drimk_3,0x47
Drimk_4,0x48
Dizzy_1,0x49
Dizzy_2,0x4A
Dizzy_3,0x4B
Dizzy_4,0x4C
Eat_1,0x4D
Eat_2,0x4E
Eat_3,0x4F
Eat_4,0x50
Fishing_Road_Charge_1_Base,0x52
Fishing_Road_Charge_2_Base,0x56
Fishing_Road_Charge_3_Base,0x5A
Fishing_Road_Charge_4_Base,0x5E
Fishin_Road_Charge_5_Base,0x62
Fishing_Road_Charge_6_Base,0x66
Fishing_Road_Charge_7_Base,0x6A
Fishing_Road_Catch_Base,0x6E
Fishing_Road_Collect_Fish_Base,0x72
Fishing_Road_Waithing_Base,0x76
Fishing_Rod_Normal_release_Base,0x7A
Player_Weeding_Kiss_1,0x7D
Player_Weeding_Kiss_2,0x7E
Player_Weeding_Kiss_3,0x7F
Player_Weeding_Kiss_4,0x80
Player_Weeding_Wait_Base,0x82
Player_Weeding_Walk_Base,0x86
Player_Frisbee_Charge_1,0x89
Player_Frisbee_Charge_2,0x8A
Player_Frisbee_Charge_3,0x8B
Player_Frisbee_Charge_4,0x8C
Player_Firsbee_Charge_5,0x8D
Player_Frisbee_Charge_6,0x8E
Player_Frisbee_Charge_7,0x8F
Player_Frisbee_Charge_8,0x90
Player_Frisbee_Move_1,0x91
Player_Frisbee_Move_2,0x92
Player_Frisbee_Move_3,0x93
Player_Frisbee_Move_4,0x94
Player_Frisbee_Release_1,0x95
Player_Frisbee_Release_2,0x96
Player_Frisbee_Release_3,0x97
Player_Frisbee_Release_4,0x98
Player_Down_To_Horse_Base,0x9A
Hammer_Charge_1_Base,0x9E
Hammer_Charge_2_Base,0xA2
Hammer_Charge_3_Base,0xA6
Hammer_Charge_4_Base,0xAA
Hammer_Charge_5_Base,0xAE
Hammer_Charge_6_Base,0xB2
Hammer_Charge_7_Base,0xB6
Hammer_Normal_Use_Base,0xBA
Hammer_Charged_Use_Base,0xBE
Hoe_Charge_1_Base,0xC2
Hoe_Charge_2_Base,0xC6
Hoe_Charge_3_Base,0xCA
Hoe_Charge_4_Base,0xCE
Hoe_Charge_5_Base,0xD2
Hoe_Charge_6_Base,0xD6
Hoe_Charge_7_Base,0xDA
Hoe_Normal_Use_Base,0xDE
Riding_Horse_Fast_Base,0xE2
Riding_Horse_Slow_Base,0xE6
Riding_Horse_Stop_Base,0xEA
Riding_Horse_Walk_Base,0xEE
Hot_Spring_Bath_1,0xF1
Hot_Spring_Bath_2,0xF2
Hot_Spring_Bath_3,0xF3
Hot_Spring_Bath_4,0xF4
Hot_Spring_Sleep_1,0xF5
Hot_Spring_Sleep_2,0xF6
Hot_Spring_Sleep_3,0xF7
Hot_Spring_Sleep_4,0xF8
Player_Over_Work_1,0xF9
Player_Over_Work_2,0xFA
Player_Over_Work_3,0xFB
Player_Over_Work_4,0xFC
Player_Over_Work_Sit_1,0xFD
Player_Over_Work_Sit_2,0xFE
Player_Over_Work_Sit_3,0xFF
Player_Over_Work_Sit_4,0x100
Player_Back_Hurt_1,0x101
Player_Back_Hurt_2,0x102
Player_Back_Hurt_3,0x103
Player_Back_Hurt_4,0x104
Player_Sweaty_1,0x105
Player_Sweaty_2,0x106
Player_Sweaty_3,0x107
Player_Sweaty_4,0x108
Player_Middle_Jump_Base,0x10A
Player_High_Jump_Base,0x10E
Player_Sleep_In_Floor_1,0x111
Player_Sleep_In_Floor_2,0x112
Player_Sleep_In_Floor_3,0x113
Player_Sleep_In_Floor_4,0x114
Player_Wake_Down_In_Floor_1,0x115
Player_Wake_Down_In_Floor_2,0x116
Player_Wake_Down_In_Floor_3,0x117
Player_Wake_Down_In_Floor_4,0x118
Player_OverWork_B_1,0x119
Player_OverWork_B_2,0x11A
Player_OverWork_B_3,0x11B
Player_OverWork_B_4,0x11C
Player_Colapse_Head_Hurt_1,0x11D
Player_Colapse_Head_Hurt_2,0x11E
Player_Colapse_Head_Hurt_3,0x11F
Player_Colapse_Head_Hurt_4,0x120
Player_Head_Hurt_1,0x121
Player_Head_Hurt_2,0x122
Player_Head_Hurt_3,0x123
Player_Head_Hurt_4,0x124
Player_Head_No_Base,0x126
Hot_Spring_Enter_1,0x129
Hot_Spring_Enter_2,0x12A
Hot_Spring_Enter_3,0x12B
Hot_Spring_Enter_4,0x12C
Player_Ocarine_1,0x12D
Player_Ocarine_2,0x12E
Player_Ocarine_3,0x12F
Player_Ocarine_4,0x130
Player_Move_Animal_Base,0x132
Player_Move_Animal_Stop_Base,0x136
Player_Ruckstar_Deposit_Base,0x13A
Player_Ruckstar_Withdraw_Base,0x13E
Ruckstar_Withdraw_2_Base,0x142
Player_Hands_Middle_Stop_Base,0x146
Player_Bed_Jump_Base,0x14A
Player_Item_Hands_Run_Base,0x14E
Player_Item_Hands_Stop_Base,0x152
Player_Item_Hands_Walk_Base,0x156
