ID,Name,Offset
1,Spring,29D534
2,Summer,29DB88
3,Autumn,29E340
4,Winter,29E56C
5,Sadness,29F0DC
6,Wedding,29FAC8
7,Festivity,2A01CC
8,Music Festival,2A0F0C
9,Animal Festival,2A17A4
10,Strings / Rain,2A1A30
11,Storm,2A2D14
12,Beach,2A362C
13,Mineral Town Theme,2A3E30
14,Night Noises,2A45E8
15,Music Played on Music Festival,2A4B8C
16,Rival Love Event,2A5118
17,Love Event,2A5854
18,Album "Spring Song",2A5AF4
19,Album "Town Spirit",2A6344
20,Album "Flower Bud Fall",2A67D4
21,Album "64 Memories",2A6BFC
22,Album "Marine Jazz",2A701C
23,Album "Butterfly",2A7598
24,Album "Summer Memories",2A7A6C
25,Album "Autumn Joy",2A83F4
26,Album "Quiet Winter",2A8780
27,Album "Griffin Blue",2A8B04
33,Minigame Horse Race,2A9168
34,Minigame Harvest Sprites,2A9928
35,Homescreen Friends of Mineral Town,2AA344
36,Credits,2AAB60
37,Childhood,2AB038
