0x000 Unk000(/* ... */) // unreferenced
0x001 Unk001(/* ... */) // unreferenced
proc0x002, SetEntityPosition, "which_entity, x, y, facing"
func0x003, GetEntityX,"(which_entity)"
func0x004, GetEntityY,"(which_entity)"
proc0x005, SetEntityFacing, "which_entity, facing"
func0x006, GetEntityFacing,"which_entity"
proc0x007, Proc007, "arg_1, arg_2"
proc0x008, Proc008, "arg_1, arg_2, arg_3"
proc0x009, Proc009, "arg_1, arg_2, arg_3"
proc0x00A, Proc00A, "arg_1, arg_2, arg_3"
proc0x00B, Proc00B, "arg_1, arg_2, arg_3"
proc0x00C, Proc00C, "arg_1"
proc0x00D, SetEntityAnim, "which_entity, arg_2"
PROFU0x00E, Unk00E /* ... */) // unreferenced
proc0x00F, Proc00F, "arg_1"
proc0x010, Proc010, "arg_1, arg_2"
proc0x011, Proc011, "arg_1, arg_2, arg_3"
proc0x012, Proc012, "arg_1"
func0x013, GetOppositeFacing,"facing"
func0x014, GetEntityLocation,"arg_1"
proc0x015, Proc015, "arg_1, arg_2, arg_3"
proc0x016, Proc016, "arg_1, arg_2, arg_3"
proc0x017, Proc017, "arg_1, arg_2, arg_3"
proc0x018, Proc018, ""
proc0x019, PlayBGM, "arg_1, arg_2"
proc0x01A, StopBGM, ""
proc0x01B, PlaySong, "arg_1, arg_2"
proc0x01C, StopAllSongs, ""
proc0x01D, FadeOutBGM, ""
PROFU0x01E, Unk01E /* ... */) // unreferenced
proc0x01F, TalkOpen, ""
proc0x020, TalkClose, ""
proc0x021, TalkMessage, "arg_1: string"
proc0x022, TalkMessageSlow, "arg_1: string"
proc0x023, Proc024, "arg_1: string"
func0x024, Func025, "arg_1: string, arg_2: string, arg_3: string"
PROFU0x025, Unk025 /* ... */) // unreferenced
func0x026, Func027, "arg_1: string, arg_2: string, arg_3: string, arg_4: string, arg_5: string"
func0x027, TalkChoice2, "arg_1: string, arg_2: string"
func0x028, TalkChoice3, "arg_1: string, arg_2: string, arg_3: string"
func0x029, TalkChoice4, "arg_1: string, arg_2: string, arg_3: string, arg_4: string"
func0x02A, TalkChoice5, "arg_1: string, arg_2: string, arg_3: string, arg_4: string, arg_5: string"
func0x02B, TalkChoice6, "arg_1: string, arg_2: string, arg_3: string, arg_4: string, arg_5: string, arg_6: string"
proc0x02C, Proc02D, "arg_1"
proc0x02D, Proc02E, "arg_1: string"
proc0x02E, Proc02F, ""
proc0x02F, Proc030, "arg_1"
proc0x030, Proc031, ""
proc0x031, Proc032, "arg_1"
PROFU0x032, Unk032 /* ... */) // unreferenced in FoMT
proc0x033, Proc034, "arg_1, arg_2"
proc0x034, Proc035, "arg_1, arg_2"
proc0x035, Proc036, "arg_1, arg_2"
proc0x036, Proc037, "arg_1"
proc0x037, Proc038, "arg_1"
proc0x038, Proc039, "arg_1, arg_2"
proc0x039, Proc03A, "arg_1, arg_2, arg_3"
proc0x03A, Proc03B, "arg_1, arg_2: string"
PROFU0x03B, Unk03B /* ... */) // unreferenced
func0x03C, Func03D, "arg_1, arg_2"
func0x03D, Check_Flag,"arg_1"
proc0x03E, Proc03F, "arg_1, arg_2"
func0x03F, Check_Full_Ruckstar, ""
func0x040, Func041, ""
func0x041, Func042, ""
func0x042, Func043, ""
func0x043, Func044, ""
func0x044, Func045, ""
proc0x045, Proc046, ""
proc0x046, Proc047, ""
proc0x047, Proc048, "arg_1"
proc0x048, Proc049, "arg_1"
proc0x049, Proc04A, "arg_1"
proc0x04A, Proc04B, "arg_1"
func0x04B, Func04C, ""
func0x04C, Func04D, ""
proc0x04D, Proc04E, ""
func0x04E, Func04F, ""
func0x04F, Func050, ""
proc0x050, Proc051, "arg_1, arg_2"
proc0x051, Proc052, ""
func0x052, Func053, "arg_1"
func0x053, Func054, "arg_1"
proc0x054, Proc055, "arg_1"
func0x055, Func056, ""
func0x056, Func057, ""
PROFU0x057, Unk057 /* ... */) // unreferenced in FoMT
func0x058, Func059, "arg_1, arg_2"
func0x059, Func05A, "arg_1, arg_2"
proc0x05A, Proc05B, "arg_1"
proc0x05B, Proc05C, "arg_1, arg_2"
func0x05C, Func05D, ""
func0x05D, Func05E, "arg_1"
PROFU0x05E, Unk05E /* ... */) // unreferenced
func0x05F, Func060, "arg_1"
proc0x060, Proc061, "arg_1"
proc0x061, Proc062, ""
proc0x062, Proc063, ""
func0x063, Func064, ""
proc0x064, Proc065, ""
proc0x065, Proc066, ""
proc0x066, Proc067, ""
proc0x067, Proc068, ""
func0x068, Func069, ""
proc0x069, Proc06A, ""
proc0x06A, Proc06B, ""
proc0x06B, Proc06C, ""
func0x06C, Func06D, ""
func0x06D, Func06E, ""
func0x06E, Func06F, ""
PROFU0x06F, Unk06F /* ... */) // unreferenced
func0x070, Func071, "arg_1"
PROFU0x071, Unk071 /* ... */) // unreferenced
proc0x072, Proc073, ""
func0x073, Func074, ""
proc0x074, Proc075, ""
PROFU0x075, Unk075 /* ... */) // unreferenced
proc0x076, Proc077, "arg_1"
func0x077, Func07A, "arg_1"
func0x078, Func07B, "arg_1"
proc0x079, Proc07C, "arg_1"
proc0x07A, Proc07D, "arg_1"
func0x07B, Func07E, "arg_1"
func0x07C, Func07F, "arg_1"
proc0x07D, Proc080, "arg_1, arg_2"
proc0x07E, Proc081, "arg_1, arg_2"
func0x07F, Func082, "arg_1"
proc0x080, Proc083, "arg_1"
func0x081, Func084, "arg_1"
func0x082, Func085, "arg_1"
func0x083, Func086, "arg_1"
proc0x084, Proc087, "arg_1"
func0x085, Func088, "arg_1"
func0x086, Func089, "arg_1"
proc0x087, Proc08A, "arg_1, arg_2"
PROFU0x088, Unk088 /* ... */) // unreferenced
proc0x089, Proc08C, "arg_1, arg_2"
proc0x08A, Proc08D, "arg_1"
proc0x08B, Proc08E, ""
proc0x08C, Proc08F, "arg_1"
proc0x08D, Proc090, ""
proc0x08E, Proc091, ""
proc0x08F, Proc092, ""
proc0x090, Proc093, ""
proc0x091, Proc094, ""
proc0x092, Proc095, ""
proc0x093, Proc096, ""
proc0x094, Proc097, ""
proc0x095, Proc098, ""
proc0x096, Proc099, ""
proc0x097, Proc09A, ""
proc0x098, Proc09B, "arg_1"
proc0x099, Proc09C, ""
proc0x09A, Proc09D, ""
proc0x09B, Proc09E, ""
proc0x09C, Proc09F, ""
proc0x09D, Proc0A0, ""
proc0x09E, Proc0A1, ""
proc0x09F, Proc0A2, ""
proc0x0A0, Proc0A3, ""
proc0x0A1, Proc0A4, ""
func0x0A2, Func0A5, ""
proc0x0A3, Proc0A6, "arg_1, arg_2"
proc0x0A4, Proc0A7, ""
proc0x0A5, Proc0A8, ""
proc0x0A6, Proc0A9, "arg_1"
func0x0A7, Func0AA, "arg_1"
proc0x0A8, Proc0AB, ""
proc0x0A9, Proc0AC, "arg_1"
proc0x0AA, Proc0AD, ""
proc0x0AB, Proc0AE, ""
proc0x0AC, Proc0AF, ""
proc0x0AD, Proc0B0, ""
proc0x0AE, Proc0B1, ""
proc0x0AF, Proc0B2, ""
func0x0B0, Func0B3, ""
func0x0B1, Func0B4, "arg_1"
func0x0B2, Func0B5, ""
proc0x0B3, Proc0B6, "arg_1"
func0x0B4, Func0B7, "arg_1"
proc0x0B5, Proc0B8, "arg_1"
func0x0B6, Func0B9, ""
func0x0B7, Func0BA, "arg_1"
proc0x0B8, Proc0BB, "arg_1"
proc0x0B9, Proc0BC, "arg_1"
func0x0BA, Func0BD, "arg_1"
func0x0BB, Func0BE, ""
func0x0BC, Func0BF, "arg_1"
func0x0BD, Func0C0, "arg_1"
func0x0BE, Func0C1, "arg_1"
proc0x0BF, Proc0C2, "arg_1"
proc0x0C0, Proc0C3, ""
func0x0C1, Func0C4, ""
func0x0C2, Func0C5, "arg_1"
func0x0C3, Func0C6, "arg_1"
proc0x0C4, Proc0C7, ""
proc0x0C5, Proc0C8, ""
func0x0C6, Func0C9, ""
proc0x0C7, Proc0CA, "arg_1"
proc0x0C8, Proc0CB, "arg_1"
proc0x0C9, Proc0CC, ""
proc0x0CA, Proc0CD, ""
func0x0CB, Func0CE, "arg_1"
func0x0CC, Func0CF, "arg_1"
func0x0CD, Func0D0, "arg_1, arg_2"
func0x0CE, Func0D1, "arg_1"
PROFU0x0CF, Unk0CF /* ... */) // unreferenced
proc0x0D0, Proc0D3, "arg_1, arg_2, arg_3"
proc0x0D1, Proc0D4, "arg_1"
func0x0D2, Func0D5, "arg_1"
func0x0D3, Func0D6, "arg_1"
func0x0D4, Func0D7, "arg_1"
func0x0D5, Func0D8, "arg_1"
func0x0D6, Func0D9, ""
func0x0D7, Func0DA, "arg_1"
proc0x0D8, Proc0DB, "arg_1"
proc0x0D9, Proc0DC, ""
func0x0DA, Func0DD, "arg_1"
proc0x0DB, Proc0DE, ""
proc0x0DC, Proc0DF, ""
func0x0DD, Func0E0, ""
func0x0DE, Func0E1, ""
func0x0DF, Func0E2, ""
proc0x0E0, Proc0E3, "arg_1"
proc0x0E1, Proc0E4, ""
proc0x0E2, Proc0E5, ""
func0x0E3, Func0E6, ""
func0x0E4, Func0E7, ""
func0x0E5, Func0E8, ""
func0x0E6, Func0E9, ""
func0x0E7, Func0EA, ""
func0x0E8, Func0EB, ""
func0x0E9, Func0EC, ""
func0x0EA, Func0ED, ""
PROFU0x0EB, Unk0EB /* ... */) // unreferenced
func0x0EC, Func0EF, ""
proc0x0ED, Proc0F0, "arg_1"
proc0x0EE, Proc0F1, "arg_1"
proc0x0EF, Proc0F2, ""
proc0x0F0, Proc0F3, ""
func0x0F1, Func0F4, ""
func0x0F2, Func0F5, ""
func0x0F3, Func0F6, ""
proc0x0F4, Proc0F7, "arg_1, arg_2"
func0x0F5, Func0F8, "arg_1"
func0x0F6, Func0F9, "arg_1"
proc0x0F7, Proc0FA, "arg_1"
proc0x0F8, Proc0FB, "arg_1"
func0x0F9, Func0FC, ""
func0x0FA, Func0FD, ""
func0x0FB, Func0FE, "arg_1: string"
proc0x0FC, Proc0FF, "arg_1"
proc0x0FD, Proc100, ""
proc0x0FE, Proc101, ""
func0x0FF, Func102, "arg_1, arg_2"
proc0x100, Proc103, "arg_1, arg_2, arg_3, arg_4, arg_5"
proc0x101, Proc104, "arg_1, arg_2"
proc0x102, GetAnimalName, "string_slot, arg_2, arg_3"
func0x103, Func106, ""
func0x104, HasAnimalBeenTalkedTo, "arg_1, arg_2"
proc0x105, SetAnimalTalkedTo, "arg_1, arg_2"
proc0x106, Proc109, "arg_1, arg_2, arg_3"
func0x107, Func10A, "arg_1, arg_2"
func0x108, GetAnimalAge, "arg_1, arg_2"
func0x109, Func10C, "arg_1, arg_2"
func0x10A, Func10D, "arg_1, arg_2"
PROFU0x10B, Unk10B /* ... */) // unreferenced
func0x10C, Func10F, "arg_1, arg_2"
func0x10D, Func110, "arg_1, arg_2"
func0x10E, Func111, "arg_1"
func0x10F, Func112, "arg_1, arg_2"
proc0x110, Proc113, ""
proc0x111, Proc114, ""
proc0x112, Proc115, ""
proc0x113, Proc116, ""
func0x114, Func117, "arg_1"
func0x115, Func118, ""
func0x116, Func119, ""
func0x117, Func11A, ""
proc0x118, Proc11B, "arg_1, arg_2"
proc0x119, Proc11C, "arg_1"
func0x11A, Func11D, "arg_1"
proc0x11B, Proc11E, "arg_1"
func0x11C, Func11F, ""
func0x11D, Func120, ""
func0x11E, Func121, ""
func0x11F, Func122, ""
func0x120, Func124, ""
func0x121, Func125, ""
