ID evento, Ofset inicio, Ofset final
1, 0x2AC0B0, 0x2AC15A
2, 0x2AC154, 0x2AC1AF
3, 0x2AC1A8, 0x2AC1FF
4, 0x2AC1F8, 0x2AC228
5, 0x2AC220, 0x2ACA8D
6, 0x2ACA88, 0x2AD0E1
7, 0x2AD0DC, 0x2AD47E
8, 0x2AD478, 0x2AD6FA
9, 0x2AD6F4, 0x2AD79F
10, 0x2AD798, 0x2AD808
11, 0x2AD800, 0x2AD87B
12, 0x2AD874, 0x2AD8E5
13, 0x2AD8E0, 0x2ADB79
14, 0x2ADB74, 0x2ADBA4
15, 0x2ADB9C, 0x2ADBCC
16, 0x2ADBC4, 0x2AE5C7
17, 0x2AE5C0, 0x2AE669
18, 0x2AE664, 0x2AE745
19, 0x2AE740, 0x2AE812
20, 0x2AE80C, 0x2AF082
21, 0x2AF07C, 0x2AF203
22, 0x2AF1FC, 0x2AF355
23, 0x2AF350, 0x2AF4AB
24, 0x2AF4A4, 0x2B04D8
25, 0x2B04D0, 0x2B05B9
26, 0x2B05B4, 0x2B0689
27, 0x2B0684, 0x2B073E
28, 0x2B0738, 0x2B0864
29, 0x2B085C, 0x2B1D52
30, 0x2B1D4C, 0x2B1E27
31, 0x2B1E20, 0x2B1F0A
32, 0x2B1F04, 0x2B1FC4
33, 0x2B1FBC, 0x2B229A
34, 0x2B2294, 0x2B27CE
35, 0x2B27C8, 0x2B2E69
36, 0x2B2E64, 0x2B3BE2
37, 0x2B3BDC, 0x2B42AD
38, 0x2B42A8, 0x2B57A1
39, 0x2B579C, 0x2B663B
40, 0x2B6634, 0x2B6803
41, 0x2B67FC, 0x2B69FB
42, 0x2B69F4, 0x2B6B56
43, 0x2B6B50, 0x2B6DD6
44, 0x2B6DD0, 0x2B72E9
45, 0x2B72E4, 0x2B7958
46, 0x2B7950, 0x2B86C8
47, 0x2B86C0, 0x2B8792
48, 0x2B878C, 0x2B8831
49, 0x2B882C, 0x2B8D8D
50, 0x2B8D88, 0x2B8EE2
51, 0x2B8EDC, 0x2B9E77
52, 0x2B9E70, 0x2BA80B
53, 0x2BA804, 0x2BA938
54, 0x2BA930, 0x2BABBD
55, 0x2BABB8, 0x2BB0B6
56, 0x2BB0B0, 0x2BB73A
57, 0x2BB734, 0x2BBE00
58, 0x2BBDF8, 0x2BBEAA
59, 0x2BBEA4, 0x2BC827
