Type,Hex_ID,Decimal_ID,Name,Arguments
proc,0x002,2,SetEntityPosition,"arg_1, arg_2, arg_3, arg_4"
func,0x003,3,GetEntityX,arg_1
func,0x004,4,GetEntityY,arg_1
proc,0x005,5,SetEntityFacing,"arg_1, arg_2"
func,0x006,6,GetEntityFacing,arg_1
proc,0x007,7,Proc007,"arg_1, arg_2"
proc,0x008,8,Set_Vector_X,"arg_1, arg_2, arg_3"
proc,0x009,9,Set_Camera_Position,"arg_1, arg_2, arg_3"
proc,0x00A,10,Set_Vector_Y,"arg_1, arg_2, arg_3"
proc,0x00B,11,Proc00B,"arg_1, arg_2, arg_3"
proc,0x00C,12,Execute_Movement,arg_1
proc,0x00D,13,SetEntityAnim,"arg_1, arg_2"
proc,0x00F,15,Hide_Entity,arg_1
proc,0x010,16,Spawn_Event_Entity,"entity_id, arg_2"
proc,0x011,17,Show_Emote,"arg_1, arg_2, arg_3"
proc,0x012,18,Wait_For_Animation,arg_1
func,0x013,19,GetOppositeFacing,arg_1
func,0x014,20,GetEntityLocation,arg_1
proc,0x015,21,Entity_Action,"entity_id, action_id, value"
proc,0x016,22,Warp_Player,"arg_1, arg_2, arg_3"
proc,0x017,23,Pan_Camera_To,"X, Y, Speed"
proc,0x018,24,Wait_Camera_Stop,
proc,0x019,25,PlayBGM,"arg_1, arg_2"
proc,0x01A,26,StopBGM,
proc,0x01B,27,PlaySong,"arg_1, arg_2"
proc,0x01C,28,StopAllSongs,
proc,0x01D,29,FadeOutBGM,
proc,0x01F,31,TalkOpen,
proc,0x020,32,Proc020,
proc,0x021,33,TalkClose,
proc,0x022,34,TalkMessage,arg_1: string
proc,0x023,35,TalkMessageSlow,arg_1: string
proc,0x024,36,Print_Message,arg_1: string
func,0x025,37,Show_Tre_Option_Menu,"arg_1: string, arg_2: string, arg_3: string"
func,0x027,39,Draw_Menu_With_Header,"Msg_Title, Msg_Opt1, Msg_Opt2, Msg_Opt3, Msg_Opt4, Msg_Opt5"
func,0x028,40,TalkChoice2,"arg_1: string, arg_2: string"
func,0x029,41,TalkChoice3,"arg_1: string, arg_2: string, arg_3: string"
func,0x02A,42,TalkChoice4,"arg_1: string, arg_2: string, arg_3: string, arg_4: string"
func,0x02B,43,TalkChoice5,"arg_1: string, arg_2: string, arg_3: string, arg_4: string, arg_5: string"
func,0x02C,44,TalkChoice6,"arg_1: string, arg_2: string, arg_3: string, arg_4: string, arg_5: string, arg_6: string"
proc,0x02D,45,Set_Name_Window,arg_1
proc,0x02E,46,Create_Select_List,arg_1: string
proc,0x02F,47,Make_Store_Error,
proc,0x030,48,Set_Portrait,arg_1
proc,0x031,49,Talk_Mini_Close,
proc,0x032,50,Set_Hearth_Anim,arg_1
proc,0x033,51,Proc033,
proc,0x034,52,Fade_Out,"arg_1, arg_2"
proc,0x035,53,Fade_In,"arg_1, arg_2"
proc,0x036,54,Tick_Overnight_Engine,"save_mode, day_type"
proc,0x037,55,Make_Delay,arg_1
proc,0x038,56,Execute_Script,arg_1
proc,0x039,57,Set_Text_Buffer_Int,"arg_1, arg_2"
