Nombre,Offset_LE,Paleta_LE
Bug,BC D7 64 00,60 30 66 00
Cat,3C A1 5F 00,20 24 66 00
Chicken1,1C 88 62 00,40 2B 66 00
Chicken2,1C 88 62 00,60 2B 66 00
Chicken3,1C 88 62 00,80 2B 66 00
Chicken4,1C 88 62 00,A0 2B 66 00
Cow1,3C 4F 60 00,A0 25 66 00
Cow2,3C 6E 60 00,A0 25 66 00
Cow3,3C 8D 60 00,A0 25 66 00
Cow4,3C AC 60 00,A0 25 66 00
Cow5,7C CB 60 00,A0 25 66 00
Dog1,3C 11 61 00,20 26 66 00
Dog2,3C 2D 61 00,20 26 66 00
Dragonfly,3C 41 61 00,60 26 66 00
Monkey,FC 38 64 00,00 2F 66 00
Rabbit,3C D3 64 00,40 30 66 00
RedBug,9C B2 63 00,E0 2D 66 00
Squirrel,BC D3 65 00,60 31 66 00
WildDog,3C DA 65 00,80 31 66 00
Rick Daily,5FA73C,662440
Rick-Wedding,5FBABC,662460
Popuri-Daily,5FC83C,662480
Popuri-Sleeping,5FDBBC,6624A0
Popuri-Baby,5FE1BC,662480
Popuri-Wedding,5FF3BC,6624C0
Lillia,5FFFBC,6624E0
Child,600D3C,662500
Child,601F5C,662500
Cliff-Daily,60201C,662520
Cliff-Wedding,60321C,662540
Cliff-Hospital,603F9C,662560
Cliff-Collapse,6048BC,662520
Zack,60E43C,6625C0
Doctor-Daily,60F1BC,6625E0
Doctor-Wedding,6103BC,662600
Harvest-Goddess,61EC1C,662A40
Gourmet,620BBC,662A60
Ellen,62239C,662A80
Jeff,62251C,662AA0
Karen-Daily,62329C,662AC0
Karen-Sleeping,62461C,662AE0
Karen-Music and Baby,624D3C,662AC0
Karen-Baby,62685C,662AC0
Karen-BabyFull,6251BC,662AC0
Karen-Wedding,626A1C,662B00
Sasha,62761C,662B20
Doug,63499C,662D20
Ann-Daily,635B9C,662D40
Ann-Baby,636D9C,662D40
Ann Sleeping,637F9C,662D60
Ann-SideArms and Music,63859C,662D40
Ann-Wedding,638B9C,662D80
Lou,63979C,662DA0
Kappa,63A99C,662DC0
Basil,63B59C,662E00
Mary-Daily,63C31C,662E20
Mary-Sleeping,63D81C,662E40
Mary-Baby,63DE1C,662E20
MaryBaby,63F4BC,662E20
Mary-Wedding,63F67C,662E60
Mary Music,64027C,662E20
Anna,64057C,662E80
Won,64177C,662EA0
Thomas,6424FC,662EC0
Elli-Daily,643E7C,662F20
Elli-Baby,6451FC,662F20
Elli-Sleeping,6463FC,662F40
Elli-Music,6469FC,662F20
Elli-Wedding,646E7C,662F60
Stu,647A7C,662F80
Duke,64813C,662FA0
Manna,6494BC,662FC0
Van,64A23C,662FE0
Harris,64B83C,663000
Carter,64C5BC,663020
Kai-Daily,64D93C,663080
Kai-Wedding,64EB3C,6630A0
Gray-Daily,659CBC,6630C0
Gray-Wedding,65AEBC,6630E0
Saibara,65BC3C,663100
Gotz,65E4BC,6631A0
May,6602BC,6631C0
Barley,66103C,6631E0
Player,7518CC,75194C
Popuri,751A0C,751A8C
HarvestGoddess,75240C,75248C
Karen,7524AC,75252C
Ann,75286C,7528EC
Mary,752E4C,752ECC
Elli,75302C,7530AC
Map-Player,753B08,75442C
