Type,Hex_ID,Decimal_ID,Name,Arguments
proc,0x002,2,SetEntityPosition,"arg_1, arg_2, arg_3, arg_4"
func,0x003,3,GetEntityX,arg_1
func,0x004,4,GetEntityY,arg_1
proc,0x005,5,SetEntityFacing,"arg_1, arg_2"
func,0x006,6,GetEntityFacing,arg_1
proc,0x007,7,Proc007,"arg_1, arg_2"
proc,0x008,8,Proc008,"arg_1, arg_2, arg_3"
proc,0x009,9,Proc009,"arg_1, arg_2, arg_3"
proc,0x00A,10,Proc00A,"arg_1, arg_2, arg_3"
proc,0x00B,11,Proc00B,"arg_1, arg_2, arg_3"
proc,0x00C,12,Proc00C,arg_1
proc,0x00D,13,SetEntityAnim,"arg_1, arg_2"
proc,0x00F,15,Proc00F,arg_1
proc,0x010,16,Proc010,"arg_1, arg_2"
proc,0x011,17,Proc011,"arg_1, arg_2, arg_3"
proc,0x012,18,Proc012,arg_1
func,0x013,19,GetOppositeFacing,arg_1
func,0x014,20,GetEntityLocation,arg_1
proc,0x015,21,Proc015,"arg_1, arg_2, arg_3"
proc,0x016,22,Proc016,"arg_1, arg_2, arg_3"
proc,0x017,23,Proc017,"arg_1, arg_2, arg_3"
proc,0x018,24,Proc018,
proc,0x019,25,PlayBGM,"arg_1, arg_2"
proc,0x01A,26,StopBGM,
proc,0x01B,27,PlaySong,"arg_1, arg_2"
proc,0x01C,28,StopAllSongs,
proc,0x01D,29,FadeOutBGM,
proc,0x01F,31,TalkOpen,
proc,0x020,32,Proc020,
proc,0x021,33,TalkClose,
proc,0x022,34,TalkMessage,arg_1: string
proc,0x023,35,TalkMessageSlow,arg_1: string
proc,0x024,36,Proc024,arg_1: string
func,0x025,37,Func025,"arg_1: string, arg_2: string, arg_3: string"
func,0x027,39,Func027,"arg_1: string, arg_2: string, arg_3: string, arg_4: string, arg_5: string"
func,0x028,40,TalkChoice2,"arg_1: string, arg_2: string"
func,0x029,41,TalkChoice3,"arg_1: string, arg_2: string, arg_3: string"
func,0x02A,42,TalkChoice4,"arg_1: string, arg_2: string, arg_3: string, arg_4: string"
func,0x02B,43,TalkChoice5,"arg_1: string, arg_2: string, arg_3: string, arg_4: string, arg_5: string"
func,0x02C,44,TalkChoice6,"arg_1: string, arg_2: string, arg_3: string, arg_4: string, arg_5: string, arg_6: string"
proc,0x02D,45,Proc02D,arg_1
proc,0x02E,46,Proc02E,arg_1: string
proc,0x02F,47,Proc02F,
proc,0x030,48,Proc030,arg_1
proc,0x031,49,Proc031,
proc,0x032,50,Proc032,arg_1
proc,0x033,51,Proc033,
proc,0x034,52,Proc034,"arg_1, arg_2"
proc,0x035,53,Proc035,"arg_1, arg_2"
proc,0x036,54,Proc036,"arg_1, arg_2"
proc,0x037,55,Proc037,arg_1
proc,0x038,56,Proc038,arg_1
proc,0x039,57,Proc039,"arg_1, arg_2"
proc,0x03A,58,Proc03A,"arg_1, arg_2, arg_3"
proc,0x03B,59,Proc03B,"arg_1, arg_2: string"
func,0x03D,61,Func03D,"arg_1, arg_2"
func,0x03E,62,Func03E,arg_1
proc,0x03F,63,Proc03F,"arg_1, arg_2"
func,0x040,64,Func040,
