event,line,flag_id,value,context
event_0005.txt,158,0xdc,2,"I'll come back again\r\nwhen he gets bigger.\BRK\WAIT_CLICKUntil then please take\r\ngood care of him, OK?\BRK"
event_0006.txt,91,0xdd,2,"Hmm...\BRK | I'm sorry,\r\n\xFF!.\BRK\WAIT_CLICKIt seems like you haven't\r\ndone such a good job of\r\ntaking care of \BRK\r\n\xFF%.\BRK"
event_0006.txt,131,0xdd,2,
event_0007.txt,71,0xdf,2,"Take good care of\r\n\xFF\"", now.\BRK"
event_0016.txt,208,0x46,1,
event_0016.txt,233,0x46,1,
event_0020.txt,150,0x47,1,"Ha! \r\nThanks, \xFF!!\BRK"
event_0020.txt,151,0x48,0,"Ha! \r\nThanks, \xFF!!\BRK"
event_0020.txt,183,0x47,1,Fine!...\BRK
event_0020.txt,184,0x48,1,Fine!...\BRK
event_0024.txt,51,0x49,1,"...So, we thought it\r\nwas a good idea.\BRK | Really? \BRK"
event_0024.txt,313,0x49,2,Thanks a lot.\r\nI mean it. \BRK
event_0024.txt,344,0x49,1,
event_0029.txt,64,0x4a,1,I think my new dish \r\nturned out great!\BRK
event_0029.txt,405,0x4a,2,"\xFF!, next time\r\nI'll fix you something that\r\nwill help you get well.\BRK\r\nI bet you can't wait!\BRK"
event_0029.txt,453,0x4a,1,...............\BRK
event_0033.txt,54,0x4b,2,
event_0034.txt,125,0x4c,2,
event_0035.txt,22,0x4d,1,
event_0035.txt,112,0x35,1,"\xFF)...\r\nThere's something I want\r\nto ask you...\BRK\r\nAlthough we're married now,\r\nI'd still like to help my \r\ndad out at the store. \BRK\r\nIs that OK with you?\BRK | Thanks, \xFF)!\BRK"
event_0035.txt,124,0x4d,2,"Thanks, \xFF)!\BRK | Tomorrow is the first day\r\nof our new life together!\BRK"
event_0035.txt,132,0x35,0,"Tomorrow is the first day\r\nof our new life together!\BRK | I understand. I'll \r\nconcentrate on the chores\r\naround here, then. \BRK"
event_0035.txt,144,0x4d,2,"I understand. I'll \r\nconcentrate on the chores\r\naround here, then. \BRK | Tomorrow is the first day\r\nof our new life together!\BRK"
event_0036.txt,220,0x4e,2,But why not?!\r\nThey're so cute!\BRK
event_0036.txt,299,0x4e,2,
event_0037.txt,22,0x4f,1,"Good morning, \r\n\xFF!.\BRK\WAIT_CLICKToday I came to look at \r\nyour farm. Will you show \r\nme around?\BRK"
event_0037.txt,55,0x4f,2,
event_0037.txt,153,0x4f,2,
event_0038.txt,80,0x50,1,You want to play house\r\noutside again? \BRK | I like it!\r\nIt's fun!\BRK
event_0038.txt,218,0x50,1,
event_0038.txt,373,0x51,0,
event_0038.txt,374,0x50,2,Oh...That's too bad. \BRK
event_0038.txt,472,0x50,2,"Well, I have to go back\r\nto work now. Sorry. \BRK\WAIT_CLICKI have to lock the Church\r\nup until tomorrow, so \r\ncan you leave?\BRK"
event_0038.txt,473,0x51,1,"Well, I have to go back\r\nto work now. Sorry. \BRK\WAIT_CLICKI have to lock the Church\r\nup until tomorrow, so \r\ncan you leave?\BRK"
event_0039.txt,167,0x53,0,
event_0039.txt,168,0x52,1,
event_0039.txt,223,0x53,1,
event_0039.txt,224,0x52,1,
event_0039.txt,277,0x53,2,
event_0039.txt,278,0x52,1,
event_0043.txt,54,0x54,2,
event_0044.txt,125,0x55,2,
event_0045.txt,23,0x56,1,
event_0045.txt,113,0x35,1,"Can I ask you a question, \r\n\xFF)?\BRK\r\nI would still like to help\BRK\r\nmy mom out. Is that OK?\BRK | Thanks, \xFF).\BRK"
