flag_id,occurrences
0x100,"event_0202.txt:  || event_0375.txt:  || event_0375.txt:  || event_0375.txt:  || event_0465.txt: Box of Oranges\BRK || event_0466.txt: Counter\BRK || event_0467.txt: Box of Oranges\BRK || event_0468.txt:  || event_0469.txt:  || event_0470.txt:  || event_0471.txt:  || event_0472.txt:  || event_0473.txt:  || event_0474.txt:  || event_0475.txt:  || event_0476.txt:  || event_0477.txt:  || event_0478.txt:  || event_0479.txt:  || event_0480.txt:  || event_0481.txt:  || event_0482.txt: Counter\BRK || event_0483.txt: Table\BRK || event_0484.txt: Counter\BRK || event_0485.txt: Counter\BRK || event_0486.txt: Counter\BRK || event_0487.txt: Counter\BRK || event_0488.txt: Counter\BRK || event_0489.txt: Counter\BRK || event_0731.txt:  || event_0991.txt: You can't use that now.\BRK || event_1013.txt: Hey there? Are you a \r\ntourist? No, you're new in\r\ntown?\BRK\WAIT_CLICKThis town is beautiful, and\r\nthe people are nice, so \r\nI bet you'll like it here. \BRK\WAIT_CLICKMe? Oh, sorry, the name' || event_1014.txt: Ah, are you the new\r\nguy at that farm Thomas \r\ntold me about?\BRK\WAIT_CLICKMy name's Mary.\r\nNice to meet you.\BRK || event_1026.txt: I don't think I've seen you\r\naround here before. \BRK\WAIT_CLICKOh, you're at the farm, \r\nare you? Welcome to the \r\nboonies.\BRK\WAIT_CLICKThe name's Gray. \BRK"
0x101,event_0375.txt:  || event_0731.txt: 
0x102,"event_0202.txt:  || event_0375.txt:  || event_0375.txt:  || event_0465.txt: Box of Oranges\BRK || event_0466.txt: Counter\BRK || event_0467.txt: Box of Oranges\BRK || event_0468.txt:  || event_0469.txt:  || event_0470.txt:  || event_0471.txt:  || event_0472.txt:  || event_0473.txt:  || event_0474.txt:  || event_0475.txt:  || event_0476.txt:  || event_0477.txt:  || event_0478.txt:  || event_0479.txt:  || event_0480.txt:  || event_0481.txt:  || event_0482.txt: Counter\BRK || event_0483.txt: Table\BRK || event_0484.txt: Counter\BRK || event_0485.txt: Counter\BRK || event_0486.txt: Counter\BRK || event_0487.txt: Counter\BRK || event_0488.txt: Counter\BRK || event_0489.txt: Counter\BRK || event_0732.txt:  || event_0982.txt:  || event_0982.txt:  || event_0991.txt: You can't use that now.\BRK || event_1013.txt: Hey there? Are you a \r\ntourist? No, you're new in\r\ntown?\BRK\WAIT_CLICKThis town is beautiful, and\r\nthe people are nice, so \r\nI bet you'll like it here. \BRK\WAIT_CLICKMe? Oh, sorry, the name' || event_1014.txt: Ah, are you the new\r\nguy at that farm Thomas \r\ntold me about?\BRK\WAIT_CLICKMy name's Mary.\r\nNice to meet you.\BRK || event_1026.txt: I don't think I've seen you\r\naround here before. \BRK\WAIT_CLICKOh, you're at the farm, \r\nare you? Welcome to the \r\nboonies.\BRK\WAIT_CLICKThe name's Gray. \BRK"
0x103,"event_0375.txt:  || event_0732.txt: Listen up, now...\BRK | Today's class will be on \r\nCookies. All of you who \r\nlike sweets will love this.\BRK\WAIT_CLICKThe Ingredients are Egg, \r\nFlour, Butter, and Sugar.\BRK\WAIT_CLICKYou also || event_0732.txt:  || event_0732.txt: "
0x104,event_0093.txt:  || event_0093.txt:  || event_0202.txt:  || event_0465.txt: Box of Oranges\BRK || event_0466.txt: Counter\BRK || event_0467.txt: Box of Oranges\BRK || event_0468.txt:  || event_0469.txt:  || event_0470.txt:  || event_0471.txt:  || event_0472.txt:  || event_0473.txt:  || event_0474.txt:  || event_0475.txt:  || event_0476.txt:  || event_0477.txt:  || event_0478.txt:  || event_0479.txt:  || event_0480.txt:  || event_0481.txt:  || event_0482.txt: Counter\BRK || event_0483.txt: Table\BRK || event_0484.txt: Counter\BRK || event_0485.txt: Counter\BRK || event_0486.txt: Counter\BRK || event_0487.txt: Counter\BRK || event_0488.txt: Counter\BRK || event_0489.txt: Counter\BRK || event_0532.txt:  || event_0532.txt:  || event_0733.txt: Now you're making me\r\nembarrassed...!\BRK || event_0991.txt: You can't use that now.\BRK
0x105,event_0202.txt:  || event_0465.txt: Box of Oranges\BRK || event_0466.txt: Counter\BRK || event_0467.txt: Box of Oranges\BRK || event_0468.txt:  || event_0469.txt:  || event_0470.txt:  || event_0471.txt:  || event_0472.txt:  || event_0473.txt:  || event_0474.txt:  || event_0475.txt:  || event_0476.txt:  || event_0477.txt:  || event_0478.txt:  || event_0479.txt:  || event_0480.txt:  || event_0481.txt:  || event_0482.txt: Counter\BRK || event_0483.txt: Table\BRK || event_0484.txt: Counter\BRK || event_0485.txt: Counter\BRK || event_0486.txt: Counter\BRK || event_0487.txt: Counter\BRK || event_0488.txt: Counter\BRK || event_0489.txt: Counter\BRK || event_0525.txt:  || event_0525.txt:  || event_0736.txt:  || event_0991.txt: You can't use that now.\BRK
0x106,event_0202.txt:  || event_0358.txt:  || event_0465.txt: Box of Oranges\BRK || event_0466.txt: Counter\BRK || event_0467.txt: Box of Oranges\BRK || event_0468.txt:  || event_0469.txt:  || event_0470.txt:  || event_0471.txt:  || event_0472.txt:  || event_0473.txt:  || event_0474.txt:  || event_0475.txt:  || event_0476.txt:  || event_0477.txt:  || event_0478.txt:  || event_0479.txt:  || event_0480.txt:  || event_0481.txt:  || event_0482.txt: Counter\BRK || event_0483.txt: Table\BRK || event_0484.txt: Counter\BRK || event_0485.txt: Counter\BRK || event_0486.txt: Counter\BRK || event_0487.txt: Counter\BRK || event_0488.txt: Counter\BRK || event_0489.txt: Counter\BRK || event_0737.txt:  || event_0991.txt: You can't use that now.\BRK
0x107,event_0202.txt:  || event_0358.txt:  || event_0465.txt: Box of Oranges\BRK || event_0466.txt: Counter\BRK || event_0467.txt: Box of Oranges\BRK || event_0468.txt:  || event_0469.txt:  || event_0470.txt:  || event_0471.txt:  || event_0472.txt:  || event_0473.txt:  || event_0474.txt:  || event_0475.txt:  || event_0476.txt:  || event_0477.txt:  || event_0478.txt:  || event_0479.txt:  || event_0480.txt:  || event_0481.txt:  || event_0482.txt: Counter\BRK || event_0483.txt: Table\BRK || event_0484.txt: Counter\BRK || event_0485.txt: Counter\BRK || event_0486.txt: Counter\BRK || event_0487.txt: Counter\BRK || event_0488.txt: Counter\BRK || event_0489.txt: Counter\BRK || event_0738.txt:  || event_0982.txt:  || event_0991.txt: You can't use that now.\BRK
0x108,"event_0738.txt: You see...\r\nI got into a boasting match\r\nwith the Mayor of the next \BRK\r\ntown over, and...\BRK | I have to bring a Diamond\r\nto him today.  \BRK | I have to bring a Bracelet\r\nto him today.   || event_0738.txt: I have to bring a Diamond\r\nto him today.  \BRK | I have to bring a Bracelet\r\nto him today.  \BRK | I have to bring a Green\r\nPepper to him today.  \BRK || event_0738.txt: I have to bring a Bracelet\r\nto him today.  \BRK | I have to bring a Green\r\nPepper to him today.  \BRK | I have to bring a Golden\r\nEgg to him today.  \BRK || event_0738.txt: I have to bring a Green\r\nPepper to him today.  \BRK | I have to bring a Golden\r\nEgg to him today.  \BRK | I have to bring Black Grass\r\nto him today.  \BRK || event_0738.txt: I have to bring a Golden\r\nEgg to him today.  \BRK | I have to bring Black Grass\r\nto him today.  \BRK | I have to bring White\r\nGrass to him today.  \BRK || event_0738.txt: I have to bring Black Grass\r\nto him today.  \BRK | I have to bring White\r\nGrass to him today.  \BRK | I have to bring a Truffle\r\nto him today.  \BRK || event_0738.txt: I have to bring White\r\nGrass to him today.  \BRK | I have to bring a Truffle\r\nto him today.  \BRK | I have to bring a Moon\r\nStone to him today.  \BRK || event_0738.txt: I have to bring a Truffle\r\nto him today.  \BRK | I have to bring a Moon\r\nStone to him today.  \BRK | I have to bring an AEPFE\r\nApple to him today.  \BRK || event_0738.txt: I have to bring a Moon\r\nStone to him today.  \BRK | I have to bring an AEPFE\r\nApple to him today.  \BRK | I have to bring a Rice\r\nCake to him today.  \BRK || event_0738.txt: I have to bring an AEPFE\r\nApple to him today.  \BRK | I have to bring a Rice\r\nCake to him today.  \BRK | I'm sorry to ask this of you\r\nall the sudden, but you're\r\nthe only person I can \BRK\r\ || event_0739.txt: Did you bring it for me, \r\n\xFF!? \BRK\WAIT_CLICKShow me quick!\BRK || event_0739.txt: This isn't it. \r\n\BRK | I asked you for a \r\nDiamond, remember? \r\nBring one quick!\BRK | I asked you for a \r\nBracelet, remember? \r\nBring one quick!\BRK || event_0739.txt: Sorry, but this isn't the \r\nkind of Grass I need!\BRK | Bring me some Black Grass\r\nquickly!\BRK | Bring me some White Grass\r\nquickly!\BRK"
0x109,"event_0738.txt:  || event_0738.txt: Really...? \r\nI overestimated you, it \r\nseems...\BRK\WAIT_CLICKI'll have to do it myself, \r\nI guess...\BRK || event_0982.txt: "
