opcode_id,occurrences
0x007,event_0815.txt:  || event_0815.txt:  || event_0815.txt:  || event_0815.txt:  || event_0815.txt:  || event_0815.txt: 
0x00B,event_1060.txt:  || event_1060.txt:  || event_1062.txt:  || event_1062.txt: 
0x04C,event_0173.txt:  || event_0405.txt:  || event_0464.txt:  || event_0531.txt: 
0x04D,event_0173.txt:  || event_1063.txt: Use the A Button to pull out\r\ngrass.\BRK | Use the A Button to throw \r\naway what you're holding. \BRK || event_1063.txt:  || event_1063.txt: 
0x052,event_1243.txt:  || event_1243.txt: 
0x054,event_1243.txt: 
0x056,"event_0016.txt:  || event_0105.txt:  || event_0372.txt:  || event_0470.txt: Thank you very much.\r\n\BRK || event_0820.txt: You can now exchange all of \r\nthe Jewels of Truth for \r\nthe Gem of Truth. \BRK | ...But, it seems you can't \r\nhold any more. \BRK\WAIT_CLICKCome back when your \r\nload is lighter. \BRK || event_1066.txt: It looks like we made too \r\nmuch this year again! \BRK\WAIT_CLICKLet's each take some home. \r\nHelp yourself, \r\n\xFF!. \BRK || event_1299.txt: Shuffle...shuffle...\BRK | I can't believe his Rucksack\r\nis so full. This won't \r\neven fit!\BRK || event_1299.txt: Hmm...shuffle...shuffle....\BRK | I was gonna give it to\r\nyou if you had a space\r\nin your rucksack, but...\BRK\r\nOh well, I guess I'll\r\neat it.\BRK || event_1299.txt: Shuffle...shuffle....\BRK | Shoot! I never thought of \r\nwhat to do if his Rucksack\r\nwas full...!\BRK || event_1299.txt: Shuffle...shuffle....\BRK | Darn it! His Rucksack is \r\nalready full! \BRK\WAIT_CLICKI can't take anything out\r\neither...Oh, I give up!!\BRK || event_1299.txt: Shuffle...shuffle....\BRK | Darn it! His Rucksack\r\nis full! I hope I remember\r\nto give it to him later. \BRK || event_1299.txt: What...? He's asleep? \BRK | How dare his Rucksack\r\nbe full, even though I went\r\nto all this effort...!\BRK || event_1309.txt: It looks like there's some \r\nextra Buckwheat Flour. \BRK\WAIT_CLICKWhy don't you take some \r\nhome, \xFF!?\r\nWe can't waste it!\BRK"
0x058,"event_1066.txt: Now those were good! \r\nI can't wait to eat some\r\nmore at home! \BRK || event_1299.txt: Now what'll I do...?\r\nWhy does he wear his \r\nRucksack even when he's \BRK\WAIT_CLICKsleeping? Great! It fit!\BRK || event_1299.txt:  || event_1299.txt: I hope he wakes up soon!\r\nI can't wait to see the \r\nlook on his face!\BRK || event_1299.txt:  || event_1299.txt: ...?? \r\nThank goodness he didn't \r\nwake up!\BRK || event_1299.txt:  || event_1299.txt: ...\xFF)'s asleep.\r\nI can't wait to see the \r\nlook on his face!\BRK || event_1299.txt:  || event_1299.txt: I wonder if \xFF)\r\neven knows that today is \r\nthe Winter Thanksgiving\BRK\r\nFestival?\BRK\WAIT_CLICKI'll just put this in his\r\nRucksack!...\BRK || event_1299.txt:  || event_1299.txt: \xFF!, I brought \r\nsomething nice for you!\r\nWake up!\BRK\WAIT_CLICKHe's sleeping like a log!\r\nI know...I'll put it in his\r\nRucksackl!\BRK || event_1299.txt:  || event_1309.txt: That was good!\r\nI even got to take some\r\nhome with me!\BRK"
0x05D,"event_0470.txt: Welcome!\r\nWould you like to buy\r\nthe Blue Feather?\BRK\WAIT_CLICK || event_0982.txt:  || event_0982.txt:  || event_0982.txt:  || event_0992.txt: Marriage, huh?\r\nThat's great! The farm \r\nshould become even more\BRK\r\nfun, then!\BRK || event_0993.txt:  || event_0994.txt: Ah, a Blue Feather...\BRK\WAIT_CLICKMy husband went off to look\r\nfor one for me, but then \r\ndidn't come back for a \BRK\r\nlong time!\BRK || event_0996.txt: Ah, a Blue Feather!\r\nIn the town where I grew\r\nup, we used a Blue Feather\BRK\r\nto propose as well!\BRK || event_0997.txt: Hmmph! You have it \r\nlucky, you know that!?...\BRK\WAIT_CLICKThe girl I wanted to marry\r\nup and married someone \r\nelse! And I thought she \BRK\WAIT_CLICKwould wait until I was \r\nolder...\BRK || event_0998.txt: A Blue Feather...\r\nAnyone I know...?\BRK || event_0999.txt: Weee!  What a pretty \r\nfeather!  I bet it has\r\nspecial power, budum!\BRK || event_1000.txt: What a wondrous feather!\r\nJust looking at it makes\r\nme happy, budum!\BRK || event_1001.txt: This is the first time I've\r\nseen a Blue Feather, budum.\r\nWhat kind of animal \BRK\r\ndoes it come from?\BRK || event_1002.txt: What a lovely feather!\r\nJust looking at it takes\r\nmy breath away, budum...\BRK || event_1003.txt: What a gorgeous\r\nfeather, bubum!\r\nShame you can't cook\r\nwith it...\BRK || event_1004.txt: What a beautiful \r\nfeather, budum!\BRK || event_1005.txt: This is a great feather,\r\nbut it won't fill me \r\nup, budum.\BRK || event_1006.txt: This Blue Feather \r\nsure does bring me back...\BRK\WAIT_CLICKI was handed mine more \r\nthan 50 years ago!\BRK || event_1007.txt: So you've reached that\r\nage already, have you?\BRK\WAIT_CLICKGood luck! I'll be \r\nrooting for you!\BRK || event_1008.txt:  || event_1009.txt: This really brings back\r\nmemories...Jeff gave me \r\nthe same thing, once. \BRK\WAIT_CLICKI still have it, you know.\BRK || event_1010.txt: You'll need this Blue \r\nFeather to propose, so take\r\ngood care of it. \BRK\r\nGood luck!\BRK || event_1011.txt:  || event_1012.txt: What a beautiful feather\r\nthis is! You mean it's for \r\nproposing to somebody?\BRK\WAIT_CLICKHow romantic! I bet it's \r\nvery effective!\BRK || event_1013.txt: Hmm....\r\nWhat an interesting custom \r\nthis is!...\BRK || event_1014.txt:  || event_1015.txt: Ah...a Blue Feather...\r\nI wish Basil had used one\r\nto propose to me...\BRK || event_1016.txt: Good luck! If it\r\ndoesn't work out, I \r\npromise to buy it back.\BRK || event_1017.txt: Congratulations!\r\nWho's the lucky girl, \r\nif I may ask?\BRK || event_1018.txt:  || event_1019.txt: Wow...It's pretty!\r\nWe had something like it\r\nin our house...\BRK\WAIT_CLICKElli said it was mom's.\BRK || event_1020.txt: Heh heh...Good luck!\BRK || event_1021.txt:  || event_1022.txt: What a nice feather. \r\nI bet I could sell it for \r\nlots...\BRK\WAIT_CLICKYou mean it's for \r\nproposing? Sorry...\BRK || event_1023.txt: Are you going to get \BRK\WAIT_CLICKmarried? I want to get \r\nmarried soon, too...\BRK || event_1024.txt: I am glad for you.\BRK\WAIT_CLICKI will pray for it to\r\ngo well.\BRK || event_1025.txt: So you're going through \r\nwith the big gamble, eh?\r\nGood luck, you'll need it!\BRK || event_1026.txt: You don't know me if you \r\nthink I'll like that!\r\nWell, maybe...\BRK || event_1027.txt: A Blue Feather, eh?\r\nI hope that's not for me!!...\BRK || event_1028.txt: If you're gonna get \r\nmarried, you have to look\r\nafter your family forever!\BRK || event_1029.txt: It's so pretty!\r\nWhat is it?\BRK || event_1030.txt: A Blue Feather, huh?\r\nWho's the lucky girl?\r\nDon't lose your nerve, now!\BRK"
0x05F,event_0982.txt: 
0x061,"event_0816.txt:  || event_0818.txt: You again? \r\nYou've already collected \r\nall the Kappa Jewels, so \BRK\r\nI'll exchange them for the \r\nKappa Gem if you promise\r\nnot to come back!\BRK || event_0820.txt: "
0x062,"event_0087.txt: You found a Power Berry.\r\n\BRK | ...But your hands are\r\nalready full, so you \r\ncan't hold it.\BRK || event_0571.txt: Since you've come and \r\nvisited me so many times, \r\nI shall now grant you a \BRK\r\nPower Berry as a token\r\nof my thanks.\BRK | I won't be giving you any \r\nmore, but come again anyway!\BRK || event_0572.txt: You sure are stubborn.\r\n\r\n\BRK || event_0586.txt: Delivered safe and sound!\BRK || event_1098.txt: That was a great race, \r\n\xFF!!\r\nCongratulations!\BRK || event_1145.txt: Listen, everyone!\r\nThis year's champion is\r\n\xFF#!!\BRK\r\nGood job!\BRK || event_1264.txt: That was a great race, \r\n\xFF!. \r\nCongratulations!\BRK"
0x063,event_0097.txt:  || event_0098.txt:  || event_0154.txt:  || event_0155.txt:  || event_0156.txt:  || event_0157.txt:  || event_0165.txt:  || event_0166.txt:  || event_0167.txt:  || event_0168.txt:  || event_0169.txt:  || event_0170.txt:  || event_0171.txt:  || event_0172.txt:  || event_0173.txt: 
0x067,"event_0341.txt:  || event_0867.txt: \r\nThen, the next day...\BRK || event_0978.txt: It's morning...\BRK || event_0981.txt:  || event_0988.txt: "
0x06D,event_0571.txt: 
0x06E,event_0571.txt:  || event_0571.txt: 
0x070,event_0471.txt: Welcome!\r\nBread is 100G each.\r\nHow many do you want?\BRK\WAIT_CLICK || event_0472.txt: Welcome!\r\nChocolates are 100G each.\r\nHow many do you want?\BRK\WAIT_CLICK || event_0473.txt: Welcome!\r\nCurry Powder is 100G each.\r\nHow many do you want?\BRK\WAIT_CLICK || event_0474.txt: Welcome!\r\nDumpling Powder is 100G \r\neach. How many do you want?\BRK\WAIT_CLICK || event_0475.txt: Welcome!\r\nFlour is 50G each.\r\nHow many would you like?\BRK\WAIT_CLICK || event_0476.txt: Welcome!\r\nOil costs 50G each.\r\nHow many do you need?\BRK\WAIT_CLICK || event_0478.txt: Welcome!\r\nRice Balls are 100G each.\r\nHow many do you want?\BRK\WAIT_CLICK
0x072,event_0469.txt: Thank you very much!\BRK
0x073,event_0469.txt: Welcome!\r\nWant to buy a Basket?\BRK\WAIT_CLICK
0x074,event_0479.txt: Thanks very much.\BRK | Are you sure now?\BRK || event_0479.txt: Thanks very much.\BRK | Really? Are you sure?\BRK
