event,line,opcode,args,context
event_0001.txt,11,Func117,var_0,\xFF%is \r\nprengant!\BRK
event_0005.txt,114,Proc0A6,0,"That's great!\r\nThanks so much!\BRK\WAIT_CLICKIn that case, you \r\ncan even name him!\BRK | Of course, you don't need\r\nto worry about him\r\nall that much.\BRK\WAIT_CLICKJust take care of him,\r\n"
event_0005.txt,138,Proc12E,"0x2C, 9, 0x54, 0x7C","I'll come back again\r\nwhen he gets bigger.\BRK\WAIT_CLICKUntil then please take\r\ngood care of him, OK?\BRK"
event_0007.txt,35,Proc0A6,0,"This Foal was born at our\r\nfarm, but you can keep him\r\nhere, if you like.\BRK\WAIT_CLICKYou can name him\r\nhowever you like.\BRK | I'll put him in the \r\nStable for you.\BRK\WAIT_CLICKTreat him "
event_0007.txt,52,Proc12E,"0x2C, 9, 0x54, 0x7C","Take good care of\r\n\xFF\"", now.\BRK"
event_0008.txt,15,Func10D,"1, var_0",Ah...your\xFF%\r\nis sick.\BRK
event_0013.txt,17,Func10D,"2, var_0",Ah...your\xFF%\r\nis sick.\BRK
event_0016.txt,45,Func083,0x13,Welcome. \BRK | I've never seen you around\r\nhere before. Are you \r\na tourist? \BRK
event_0016.txt,186,Func056,,Here you are. This is \r\non the house. \r\nDon't mention it. \BRK | It takes a lot of work to \r\nstart up a farm. I'm \r\nrooting for you. \BRK
event_0029.txt,263,Proc0CA,9,"Come in back with me, \r\n\xFF!. \BRK"
event_0029.txt,325,Proc046,,
event_0034.txt,127,Proc0AB,,
event_0035.txt,46,Proc129,5,\xFF)...\r\nHow do you like it?\BRK
event_0035.txt,59,Proc129,2,\xFF)...\r\nHow do you like it?\BRK
event_0035.txt,72,Proc129,3,\xFF)...\r\nHow do you like it?\BRK
event_0035.txt,88,Proc0A6,0,"Can't you think of a \r\nreally good name then?\BRK\r\nIt's for the rest of our\r\nlives, after all!\BRK | OK, it's \r\n\xFF) \r\nfrom now on, then.  \BRK"
event_0036.txt,58,Proc146,0x734,"Wait, come back!\BRK"
